trade_date,open,high,low,close,volume
2026-05-15,28164.7,28841.2,27991.9,28496.8,2544100
2026-05-16,28967.9,29590.6,28592.2,29034.4,3553000
2026-05-17,28871.8,29404.8,28821.7,28985.3,4521500
2026-05-18,29450.9,29916.2,28907.7,29474.9,705500
2026-05-19,29045.3,29503.3,28638.7,28928.4,3525500
2026-05-20,28676.1,29290.4,28533.4,29029.0,2149800
2026-05-21,28311.0,28788.9,28194.3,28594.3,2365900
2026-05-22,28554.0,29045.3,28314.8,28677.0,2795200
2026-05-23,28891.6,29307.3,28650.4,29092.2,2659900
2026-05-24,28318.0,28927.5,28241.8,28595.9,2277300
2026-05-25,28382.0,28922.7,28333.7,28536.5,1777200
2026-05-26,29080.5,29102.5,28270.8,28703.8,3190500
2026-05-27,28973.6,29050.2,28454.6,28863.1,2897700
2026-05-28,29036.1,29574.7,28965.0,29286.1,2829900
2026-05-29,28638.0,29346.6,28588.0,29057.5,581500
2026-05-30,29431.6,29743.4,29123.3,29296.7,1442000
2026-05-31,28663.2,29175.0,28648.8,28863.9,3001300
2026-06-01,28455.5,29018.1,28210.7,28726.0,3924800
2026-06-02,28192.7,29083.8,28034.0,28600.6,2175600
2026-06-03,27914.9,28603.9,27653.0,28169.2,3647400
2026-06-04,28362.0,28808.0,28002.3,28486.5,1160900
2026-06-05,28219.2,28325.4,27777.7,28051.5,2141700
2026-06-06,28750.8,28986.8,28334.0,28611.8,731900
2026-06-07,28307.0,28466.4,27795.4,28236.9,1068900
2026-06-08,27606.5,28286.8,27496.2,27970.1,2315300
2026-06-09,27872.0,28348.6,27565.3,27903.8,1356300
2026-06-10,27456.4,27966.2,27209.9,27589.8,4792200
2026-06-11,28179.7,28433.6,27917.1,28081.9,1358200
2026-06-12,28484.6,28532.4,28006.5,28277.1,1763600
2026-06-13,28139.0,28271.7,27462.1,27833.5,3216600
2026-06-14,27807.6,28104.5,27470.6,27939.9,647700
2026-06-15,28132.6,28235.8,27909.1,28073.4,4737800
2026-06-16,27729.2,28360.3,27466.0,28019.9,3770000
2026-06-17,28256.0,28386.1,27782.8,28135.7,4246900
2026-06-18,27990.1,28588.4,27933.0,28391.5,2576600
2026-06-19,28668.3,28878.6,28165.1,28597.7,1131200
2026-06-20,28648.4,28760.7,28297.2,28575.5,1874500
2026-06-21,27883.6,28283.2,27590.8,28135.1,2627200
2026-06-22,28581.5,28892.1,28222.6,28369.5,1156300
2026-06-23,28109.4,28247.4,27496.6,28016.7,995200
2026-06-24,27788.9,28058.6,27445.7,27729.0,3641100
2026-06-25,27663.5,27701.3,26817.2,27268.8,4766600
2026-06-26,28007.1,28319.5,27601.8,27800.4,4232600
2026-06-27,27308.6,28043.4,27303.6,27588.6,1946400
2026-06-28,27044.7,27684.4,26731.7,27257.3,577200
2026-06-29,27038.1,27879.0,26931.4,27364.9,887300
2026-06-30,27994.3,28060.2,27518.5,27860.9,2853300
2026-07-01,28435.0,28809.5,28180.9,28359.1,1739700
2026-07-02,27594.0,28386.2,27588.6,28077.1,1481000
2026-07-03,27616.5,28498.7,27572.3,28084.7,3342900
2026-07-04,27674.3,27864.7,27431.7,27694.3,2523900
2026-07-05,27784.3,27851.5,26940.8,27415.2,2504500
2026-07-06,27706.0,27737.9,27198.8,27369.3,590900
2026-07-07,27536.3,27678.4,27047.7,27344.6,4298300
2026-07-08,27159.6,27483.7,27090.3,27240.4,653200
2026-07-09,27740.3,28058.0,27306.2,27737.2,895400
2026-07-10,27868.5,27919.0,27531.5,27715.4,1142000
2026-07-11,27491.3,27952.0,27429.5,27799.8,4650400
