trade_date,open,high,low,close,volume
2026-05-15,24069.9,24310.0,23595.5,23845.4,3766600
2026-05-16,24040.6,24304.8,23725.6,24039.5,1459100
2026-05-17,24396.3,24693.8,24025.1,24350.9,3823400
2026-05-18,24876.4,24984.7,24330.1,24502.9,2254200
2026-05-19,24423.1,24695.2,24245.2,24536.3,1835600
2026-05-20,24837.7,25290.4,24677.9,24996.8,1968500
2026-05-21,24811.5,25325.5,24673.0,25026.3,2545000
2026-05-22,24993.0,25595.4,24910.0,25180.9,3823200
2026-05-23,25223.4,25253.9,24541.3,24976.8,977800
2026-05-24,24522.4,24920.6,24508.1,24681.8,1190400
2026-05-25,24587.1,24986.0,24534.1,24783.0,4312400
2026-05-26,24849.3,25369.2,24596.8,25037.6,654100
2026-05-27,24642.4,25046.5,24440.0,24907.8,2037000
2026-05-28,24819.8,25210.6,24786.7,25014.1,3514100
2026-05-29,25622.5,25885.4,25203.6,25493.7,2136200
2026-05-30,25521.0,25702.3,25401.1,25533.3,3041900
2026-05-31,24971.3,25582.5,24901.0,25364.6,4903300
2026-06-01,25346.2,25751.9,25286.3,25443.0,4000300
2026-06-02,24684.6,25447.6,24649.6,25033.3,1464400
2026-06-03,24848.8,25276.3,24478.4,24900.6,2559300
2026-06-04,25032.2,25483.1,24622.7,24987.4,1127300
2026-06-05,24540.5,25029.0,24342.6,24571.1,1606600
2026-06-06,25026.8,25036.3,24665.4,24798.3,2102400
2026-06-07,24246.8,24937.6,24244.7,24594.6,1118800
2026-06-08,25187.5,25375.1,24636.7,25061.7,4740600
2026-06-09,25055.2,25541.9,24987.3,25218.9,4286900
2026-06-10,24976.7,25154.6,24722.2,24853.8,2732000
2026-06-11,24328.2,24880.3,24303.9,24588.1,3606800
2026-06-12,24728.7,24835.3,24178.1,24657.9,2798500
2026-06-13,24249.3,24620.0,24032.5,24305.2,4317800
2026-06-14,24178.7,24455.4,23822.1,24044.1,3700100
2026-06-15,24191.6,24286.6,23551.0,23847.4,2167000
2026-06-16,23967.4,24148.8,23464.6,23689.9,4979800
2026-06-17,23588.2,24038.5,23231.0,23608.5,2489800
2026-06-18,23657.5,23983.5,23575.0,23790.5,3695200
2026-06-19,23524.7,23746.7,23096.2,23348.7,4773700
2026-06-20,23173.8,23308.8,22855.0,23081.1,3721400
2026-06-21,23004.5,23528.2,22998.3,23207.6,1001500
2026-06-22,23117.4,23422.6,22848.9,23196.3,2215200
2026-06-23,23209.8,23452.3,22788.0,23154.7,1212400
2026-06-24,23362.6,23370.5,22909.6,23241.8,1074600
2026-06-25,23767.0,23925.2,23493.6,23664.7,1446200
2026-06-26,23277.3,23980.4,23156.3,23622.2,3442500
2026-06-27,24126.2,24352.9,23719.3,24073.2,3309500
2026-06-28,24079.6,24322.3,23676.6,23979.0,1778900
2026-06-29,23912.9,24151.7,23460.2,23920.9,3242400
2026-06-30,23415.7,23757.4,23316.1,23634.6,4902500
2026-07-01,23507.9,23649.4,23349.4,23483.5,1154200
2026-07-02,23810.9,23982.9,23223.0,23690.4,2744000
2026-07-03,24243.3,24264.0,23840.0,24130.2,1101600
2026-07-04,24301.8,24656.1,24226.4,24417.1,2297500
2026-07-05,24516.2,24949.0,24391.4,24648.3,1119200
2026-07-06,24518.7,25283.0,24372.2,24802.3,4584000
2026-07-07,24164.9,25030.3,24108.9,24548.0,1509200
2026-07-08,24418.7,24674.6,23885.0,24339.6,3988900
2026-07-09,24469.5,24865.0,24311.7,24654.1,3266500
2026-07-10,24166.7,24385.6,23881.3,24232.2,3572000
2026-07-11,24315.6,24410.5,23838.0,23975.5,3778000
2026-07-12,23444.3,23976.1,23308.0,23762.6,3259100
2026-07-13,24218.8,24309.6,23828.6,24033.3,781700
2026-07-14,23546.8,23927.4,23504.3,23778.2,3533000
2026-07-15,23281.8,23551.9,23164.3,23350.6,4787400
2026-07-16,23513.7,23854.5,23500.9,23696.0,4905300
2026-07-17,23540.1,23983.9,23445.0,23793.7,4614500
2026-07-18,24307.9,24359.8,23734.5,24015.9,2684300
2026-07-19,24080.5,24416.2,23904.0,24104.4,3053500
2026-07-20,24128.3,24701.4,24004.5,24379.5,4431500
2026-07-21,24012.0,24271.3,23539.1,23999.0,2990800
2026-07-22,24197.4,24760.9,23815.8,24283.4,2263200
2026-07-23,24181.2,24432.6,24078.8,24231.4,1147500
2026-07-24,24313.0,24613.3,24308.3,24457.8,3245300
2026-07-25,24692.2,24782.0,24350.9,24614.8,1327600
2026-07-26,24859.6,25185.7,24596.9,24922.6,1387300
2026-07-27,24738.7,25297.2,24579.8,24823.1,2803400
2026-07-28,25258.6,25336.5,24950.4,25153.6,2542300
2026-07-29,24960.7,25109.4,24583.1,24876.2,4629500
2026-07-30,24912.1,25216.3,24725.6,24908.3,2383800
2026-07-31,24598.5,25198.2,24495.4,24943.8,1351800
2026-08-01,24949.4,25479.7,24860.5,25251.0,3983600
2026-08-02,24661.0,24964.3,24532.5,24753.0,4462400
2026-08-03,24402.1,24904.3,24302.4,24730.1,3920800
2026-08-04,24357.0,24370.0,23998.8,24236.8,3399600
2026-08-05,24769.1,24869.0,24282.2,24554.4,749600
2026-08-06,24178.1,24305.8,23760.0,24152.6,2556800
2026-08-07,23932.1,24289.8,23877.9,24018.1,659300
2026-08-08,24146.8,24342.6,23967.8,24134.5,2814600
2026-08-09,23950.8,24132.0,23505.4,23711.6,4149300
2026-08-10,23106.9,23645.0,22922.5,23341.3,1495100
2026-08-11,23175.6,23374.2,22860.2,23130.5,4334000
2026-08-12,23303.0,23497.5,22983.8,23142.1,1918000
2026-08-13,23143.8,23281.7,22759.0,23062.8,4298900
