trade_date,open,high,low,close,volume
2026-05-15,19823.9,20151.9,19621.8,19931.6,3108100
2026-05-16,20163.0,20557.6,19988.7,20232.9,2202600
2026-05-17,20178.4,20380.7,19998.2,20259.0,2862300
2026-05-18,20315.0,20696.2,20155.5,20525.3,532100
2026-05-19,20814.2,20866.3,20493.0,20708.8,4344900
2026-05-20,20808.9,21292.9,20730.9,20938.1,1399900
2026-05-21,21089.7,21345.2,20742.2,21100.4,4001400
2026-05-22,20978.4,21185.0,20888.5,21037.5,1960600
2026-05-23,21383.1,21755.6,21182.9,21399.0,1421100
2026-05-24,21151.3,21535.5,20914.9,21279.3,2370200
2026-05-25,21653.7,21901.9,21329.3,21624.7,2702500
2026-05-26,20876.5,21399.3,20842.4,21218.7,1617800
2026-05-27,21014.5,21534.6,21013.9,21372.2,2568300
2026-05-28,21738.5,21952.8,21486.7,21695.4,2791300
2026-05-29,21482.0,21912.0,21107.7,21515.3,4591300
2026-05-30,21065.6,21669.7,21037.6,21401.5,4505500
2026-05-31,21464.1,21475.6,21084.8,21274.7,2995900
2026-06-01,21128.3,21645.7,21053.2,21375.8,2525200
2026-06-02,21374.5,21510.6,20978.8,21201.8,3986400
2026-06-03,21724.7,21746.8,21181.7,21335.3,1516900
2026-06-04,21519.8,21752.9,21026.4,21455.4,4573400
2026-06-05,21329.1,21843.2,21188.4,21534.6,3225100
2026-06-06,21536.9,21642.2,21013.6,21268.5,1261100
2026-06-07,21393.8,21580.1,21195.7,21379.4,3495700
2026-06-08,21759.9,21890.4,21229.8,21540.4,3865200
2026-06-09,21522.0,22137.3,21452.3,21811.7,802600
2026-06-10,22172.8,22605.8,21921.7,22175.5,783000
2026-06-11,21890.8,22208.5,21778.9,22064.3,3413400
2026-06-12,21788.5,22032.3,21538.9,21805.0,2349700
2026-06-13,21561.2,21988.2,21276.9,21702.9,1482600
2026-06-14,21729.9,22049.5,21603.3,21917.8,542600
2026-06-15,21873.5,22191.2,21637.0,22054.2,4484100
2026-06-16,21859.3,22342.2,21857.3,22224.0,1118400
2026-06-17,21672.8,21978.7,21415.3,21844.6,2203000
2026-06-18,21861.7,22084.0,21646.2,21886.7,3549900
2026-06-19,21748.8,22303.1,21671.8,21967.4,3498700
2026-06-20,22216.2,22263.5,21651.3,21924.2,1565600
2026-06-21,22285.6,22451.4,21845.9,22178.2,4193900
2026-06-22,22686.0,22966.8,22156.8,22589.3,3694100
2026-06-23,22400.5,22464.8,21738.4,22140.9,4877800
2026-06-24,22727.7,22946.2,22190.2,22527.2,2782900
2026-06-25,22402.4,22536.0,22107.8,22343.8,3621400
2026-06-26,22526.5,23040.3,22461.1,22776.0,3589600
2026-06-27,22940.2,23110.9,22701.3,22867.8,4234800
2026-06-28,22332.2,22538.7,21986.3,22414.0,3298000
2026-06-29,22691.4,22931.2,22411.7,22805.4,3488700
2026-06-30,23325.7,23496.0,22825.0,23241.2,3202100
2026-07-01,23545.3,23576.0,22996.4,23394.1,4763800
2026-07-02,23832.4,24032.7,23339.7,23705.6,2809600
2026-07-03,24166.1,24476.6,23821.3,24111.5,4918100
2026-07-04,24334.8,24602.3,24022.3,24344.3,4051100
2026-07-05,24423.6,24882.2,24307.2,24437.0,2889700
