trade_date,open,high,low,close,volume
2026-05-15,75266.0,76013.7,73444.1,74722.3,4754400
2026-05-16,75452.7,75679.0,73459.3,74781.9,4590000
2026-05-17,74198.1,75814.7,74108.4,75437.3,2196700
2026-05-18,75648.0,76468.3,74804.2,75347.2,785100
2026-05-19,73958.0,75461.4,73593.6,74633.2,3163900
2026-05-20,76291.1,77053.5,74957.4,75605.9,3819800
2026-05-21,75522.7,75782.1,73883.3,75316.0,4808900
2026-05-22,75142.5,76594.1,74968.5,75879.2,808500
2026-05-23,75915.9,77647.9,75332.0,76521.3,2531000
2026-05-24,76761.1,77272.8,75982.5,76564.7,3086500
2026-05-25,78133.6,78832.0,77083.2,77976.4,3812900
2026-05-26,80050.6,80070.1,77701.6,78556.7,4651200
2026-05-27,77108.8,79043.0,76122.9,77617.4,1687600
2026-05-28,78931.4,79370.9,78399.6,78870.3,3480100
2026-05-29,78646.9,80602.7,78253.8,79576.4,2398200
2026-05-30,78334.8,79928.5,77626.4,78494.2,2808000
2026-05-31,78395.0,79612.8,77386.1,78487.5,4587000
2026-06-01,78553.6,81168.6,78329.4,79661.2,4124700
2026-06-02,78217.3,79725.6,78027.0,79082.8,3183600
2026-06-03,78754.6,79023.7,77230.4,78461.5,4643900
2026-06-04,78742.2,81042.7,78695.8,79673.7,4183800
2026-06-05,79858.1,79866.6,78026.9,79156.6,2024500
2026-06-06,79738.5,81377.3,78603.1,79849.7,1677400
2026-06-07,78905.8,79469.5,78443.1,78905.6,595900
2026-06-08,80101.7,81227.1,78760.2,79959.0,3221900
2026-06-09,79950.8,80255.6,77572.3,78800.6,574200
2026-06-10,78857.3,79252.5,77125.7,78203.4,667000
2026-06-11,78033.9,78641.4,77050.7,78063.7,3456900
2026-06-12,76762.9,77154.9,75268.2,76744.3,4999000
2026-06-13,76102.1,76174.1,74193.8,75357.8,3440900
2026-06-14,74024.3,75840.9,72986.2,74370.0,4265000
2026-06-15,73952.0,74464.6,73552.3,74036.1,1494700
2026-06-16,71992.0,73957.9,71464.4,72747.9,4276900
2026-06-17,72553.9,73095.2,71281.2,72435.0,1576800
2026-06-18,73314.5,75086.4,73273.6,73780.6,929400
2026-06-19,71189.7,72853.1,71043.2,72418.2,1043800
2026-06-20,71458.6,71860.7,70770.3,71409.3,3635100
2026-06-21,71062.4,73226.1,70839.4,72032.9,2523700
2026-06-22,71181.9,71913.3,70302.8,70931.6,2711000
2026-06-23,70161.2,71750.3,69661.8,70551.3,3548400
2026-06-24,71370.8,72056.2,69884.0,70668.1,3520900
2026-06-25,70573.0,71689.3,70118.0,71204.1,1497100
2026-06-26,69698.4,72305.4,69657.9,71053.0,4110200
2026-06-27,71439.1,72904.5,70452.2,71543.1,3374900
2026-06-28,71498.2,72004.6,70686.1,71626.4,3396500
2026-06-29,71364.9,72723.9,70754.6,72059.5,4692900
2026-06-30,72385.5,74296.2,72088.3,73152.3,544500
2026-07-01,73630.2,74912.5,73519.9,74157.6,3749800
2026-07-02,73756.8,74683.7,73011.6,73928.6,1704100
2026-07-03,73212.0,73923.2,71886.7,72492.6,1791300
2026-07-04,72602.9,74085.4,71449.5,72834.0,4176300
2026-07-05,72055.6,73859.9,71494.3,72713.3,3054600
2026-07-06,72041.3,72274.8,71369.6,71890.0,1740800
2026-07-07,70486.5,71828.5,70361.0,70933.4,581300
2026-07-08,69672.0,71094.9,69139.4,70133.0,1189700
2026-07-09,70992.7,71637.9,69917.9,70627.0,1928500
2026-07-10,71186.9,71852.6,69253.0,70578.9,1469900
2026-07-11,70846.8,72054.2,70296.5,70748.3,1216800
2026-07-12,70699.7,72086.9,70193.8,70852.0,4021200
2026-07-13,70456.1,71123.5,69645.6,70653.6,4008800
2026-07-14,70031.8,70807.0,68656.6,69828.8,4080300
2026-07-15,70249.7,71043.6,70185.8,70676.7,4836500
2026-07-16,69754.3,72366.4,69733.8,70987.3,4915800
2026-07-17,72948.2,73538.2,71559.8,72192.8,2554400
2026-07-18,71289.3,72740.8,71181.6,71592.3,525700
2026-07-19,70586.8,71002.9,70061.1,70599.9,1059200
2026-07-20,71153.6,71917.6,70228.3,70651.4,4895100
2026-07-21,71424.4,72948.9,70539.5,71702.4,1615900
2026-07-22,71945.0,73390.4,70721.6,71982.2,4566000
2026-07-23,69996.8,71562.8,69975.2,71041.5,671100
2026-07-24,70194.3,71255.7,70112.3,70631.0,2450900
2026-07-25,69587.4,71924.1,69550.3,70709.9,940500
2026-07-26,70075.0,71671.0,69544.1,70742.9,4928100
2026-07-27,70562.1,70636.2,69213.4,69979.1,2051300
2026-07-28,69812.5,69996.4,69000.8,69425.6,3012900
2026-07-29,69602.0,70632.2,69495.8,70165.2,4012400
2026-07-30,70544.0,71448.5,69880.5,70970.8,923700
2026-07-31,72035.2,72065.5,71020.1,71435.2,4513800
2026-08-01,71314.1,72789.9,70475.9,71385.6,4132300
2026-08-02,71291.5,71697.4,70233.6,71123.7,743000
2026-08-03,71608.4,72647.3,70768.9,72168.8,1102300
2026-08-04,70845.9,71410.6,70289.7,71015.0,1141300
2026-08-05,71655.4,72414.7,70990.4,71986.2,538900
2026-08-06,70329.0,71703.8,69983.1,71260.4,1261000
2026-08-07,73236.0,73364.4,71769.6,72511.2,4984200
2026-08-08,73959.1,74824.8,72584.6,73457.2,3606800
2026-08-09,72165.1,73699.3,71598.0,72586.8,2709000
2026-08-10,71421.6,72777.4,70353.0,71625.6,3991700
2026-08-11,72301.7,72555.2,70752.1,71644.8,1569000
2026-08-12,71169.2,73295.7,70973.5,72353.4,2047500
2026-08-13,73815.7,74410.4,72061.5,73029.1,2178500
